jp	en	category	source	note
ボディランゲージ	Body Language	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000; tools/dumps/untranslated_choices.txt	PROPOSED. Non-verbal communication sub-menu (used when the CO translator device malfunctions).
絵を描く	Draw a Picture	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000; tools/dumps/untranslated_choices.txt	PROPOSED. Same non-verbal sub-menu as Body Language.
念じる	Concentrate	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000; tools/dumps/untranslated_choices.txt	PROPOSED. Same non-verbal sub-menu (telepathy attempt).
あきらめる	Give Up	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000 (multiple menus)	PROPOSED. Recurs across several different sub-menus as a "give up" bail-out option.
武器を置く	Lower Weapon	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000 raw menu; narrative precedent in MS6007/6008 ("武器を置くのが礼儀というものじゃぞ")	PROPOSED. Sub-menu ("武器を置く / 近づく / 両手を上げる").
近づく	Approach	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000 (same menu as Lower Weapon)	PROPOSED.
両手を上げる	Raise Hands	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000 (same menu as Lower Weapon)	PROPOSED.
ごまをする	Flatter	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6001, MS6002; tools/dumps/untranslated_choices.txt	PROPOSED. Sub-menu ("ごまをする / 話を聞く").
話を聞く	Hear Them Out	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6001, MS6002; tools/dumps/ID_choice_menus.txt	PROPOSED.
おだてる	Butter Up	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6002, MS6004	PROPOSED. Distinct option from ごまをする("Flatter") even though both are flattery-flavored — keep as two different English verbs to preserve the distinction the game makes.
貢ぐ	Offer Tribute	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6001, MS6002, MS6004, MS6012 (frequent)	PROPOSED.
食べ物をやる	Give Food	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000 raw, MS6006	PROPOSED.
事実を告げる	Tell the Truth	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6015, MS6016, MS6106	PROPOSED. Sub-menu ("事実を告げる / 適当にごまかす").
適当にごまかす	Make an Excuse	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6015, MS6016, MS6106; tools/dumps/ID_choice_menus.txt	PROPOSED.
成仏させる	Put to Rest	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6006, MS610B, MS610D	PROPOSED. Ghost/undead-specific menu ("成仏させる / 用を聞く").
用を聞く	Hear Its Request	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS610B	PROPOSED. Same ghost-specific menu as Put to Rest; shorter alternate "Hear It Out" if space is tight.
様子を見る	Wait and See	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6001, MS6004, MS6006, MS610C, MS610D (very frequent, generic)	PROPOSED. Generic "observe" option recurring across many personality files.
肉をあげる	Give Meat	negotiation-verb	tools/dumps/ID_choice_menus.txt / untranslated_choices.txt ID0099, ID014E	PROPOSED. Animal/dog-type menu ("肉をあげる / 骨をあげる").
骨をあげる	Give Bone	negotiation-verb	tools/dumps/ID_choice_menus.txt ID0099, ID014E	PROPOSED.
やめる	Cancel	negotiation-verb	tools/dumps/negotiation_MS6xxx.txt MS6000 raw menu, general	PROPOSED. Generic "stop/cancel" option across various menus.
そこを何とか	Just This Once	negotiation-verb	tools/dumps/ID_choice_menus.txt ID0099, ID00BB, ID00BC, ID014E; MS6103	PROPOSED. Gatekeeper-NPC menu (asking to be let through).
意地でも通る	Push Through	negotiation-verb	tools/dumps/ID_choice_menus.txt ID00BB, ID00BC, ID014E	PROPOSED. Same gatekeeper menu, forceful option.
お願いする	Beg	negotiation-verb	tools/dumps/ID_choice_menus.txt ID0099, ID014E	PROPOSED. Same gatekeeper menu.
土下座して頼む	Grovel	negotiation-verb	tools/dumps/ID_choice_menus.txt ID0099, ID014E	PROPOSED. Same gatekeeper menu, most extreme option (literally "beg on your knees, forehead to the floor").
お菓子をあげる	Give Candy	negotiation-verb	tools/dumps/ID_choice_menus.txt ID00C1	PROPOSED. Separate menu, likely a child-like/sweet-toothed demon type.
